ru|Здравствуйте|здра́вствуйте;До свидания|до свида́ния;Спасибо|спаси́бо;Пожалуйста|пожа́луйста;Сколько стоит?|ско́лько сто́ит;Помогите!|помоги́те
ja|こんにちは|конничива́;さようなら|сайо́нара;ありがとう|ариГато́;お願いします|онэГа́й симас;いくらですか|и́кура дэс ка;助けて|таскэ́тэ
ko|안녕하세요|аннёнхасе́ё;안녕히 가세요|аннёнхи касе́ё;감사합니다|камсахамни́да;부탁합니다|путакхамни́да;얼마예요?|о́льма ее́;도와주세요!|товаджусе́ё
ka|გამარჯობა|гамарджо́ба;ნახვამდის|нахвамди́с;მადლობა|мадло́ба;გთხოვთ|гтхо́вт;რა ღირს?|ра гирс;დახმარება!|дахмаре́ба
hy|Բարև|баре́в;Ցտեսություն|цтесутю́н;Շնորհակալություն|шнорхакалутю́н;Խնդրեմ|хндре́м;Ի՞նչ արժե|инч арже́;Օգնությու՛ն|огнутю́н
az|Salam|сала́м;Sağ ol|саг ол;Təşəkkür|тешеккю́р;Zəhmət olmasa|зэхме́т олмаса́;Neçəyədir?|нечэйеди́р;Kömək!|кёмя́к
kk|Сәлеметсіз бе|сэлеметси́з бе;Сау болыңыз|сау болыны́з;Рақмет|рахме́т;Өтінемін|отинеми́н;Қанша тұрады?|канша́ тура́ды;Көмектесіңіз!|комектесини́з
uz|Assalomu alaykum|ассало́му алайку́м;Xayr|хайр;Rahmat|рахма́т;Iltimos|илтимо́с;Qancha turadi?|канча́ тура́ди;Yordam bering!|йорда́м беринг
ky|Салам|сала́м;Жакшы калыңыз|жакшы́ калыны́з;Рахмат|рахма́т;Сураныч|сураны́ч;Канча турат?|канча́ тура́т;Жардам!|жарда́м
tg|Салом|сало́м;Хайр|хайр;Ташаккур|ташаккку́р;Лутфан|лутфа́н;Чанд пул аст?|чанд пул аст;Кумак!|кума́к
mn|Сайн байна уу|сайн байну́;Баяртай|баярта́й;Баярлалаа|баярлала́;Гуйя|гуйя́;Хэд вэ?|хэд вэ;Туслаарай!|тусла́рай
sr|Здраво|здра́во;Довиђења|довидже́ня;Хвала|хва́ла;Молим|мо́лим;Колико кошта?|коли́ко ко́шта;Упомоћ!|упомо́ч
hr|Dobar dan|до́бар дан;Doviđenja|довидже́ня;Hvala|хва́ла;Molim|мо́лим;Koliko košta?|коли́ко ко́шта;Upomoć!|упомо́ч
sl|Dober dan|до́бер дан;Nasvidenje|насвиде́нье;Hvala|хва́ла;Prosim|про́сим;Koliko stane?|коли́ко ста́не;Na pomoč!|на помо́ч
mk|Здраво|здра́во;Довидување|довиду́вање;Благодарам|благода́рам;Ве молам|ве мо́лам;Колку чини?|ко́лку чи́ни;Помош!|по́мош
sq|Përshëndetje|першенде́тье;Mirupafshim|мирупафши́м;Faleminderit|фалеминде́рит;Ju lutem|ю лу́тем;Sa kushton?|са кушто́н;Ndihmë!|ндихмё
uk|Доброго дня|до́брого дня;До побачення|до поба́чення;Дякую|дя́кую;Будь ласка|будь ла́ска;Скільки коштує?|скі́льки ко́штує;Допоможіть!|допоможі́ть
be|Добры дзень|до́бры дзень;Да пабачэння|да пабачэ́ння;Дзякуй|дзя́куй;Калі ласка|калі́ ла́ска;Колькі каштуе?|ко́лькі кашту́е;Дапамажыце!|дапамажы́це
lt|Labas|ла́бас;Viso gero|ви́со ге́ро;Ačiū|а́чю;Prašau|праша́у;Kiek kainuoja?|кек кайнуо́я;Padėkite!|падэ́ките
lv|Sveiki|све́йки;Uz redzēšanos|уз редзе́шанос;Paldies|палдиэ́с;Lūdzu|лу́дзу;Cik maksā?|цик макса́;Palīgā!|пали́га
et|Tere|те́ре;Nägemist|нягеми́ст;Aitäh|айтя́х;Palun|па́лун;Kui palju maksab?|куй па́лю ма́ксаб;Appi!|а́ппи
is|Halló|хало́;Bless|блесс;Takk|такк;Gjörðu svo vel|гьёрду сво вел;Hvað kostar?|квад ко́стар;Hjálp!|хьяульп
km|សួស្ដី|суосдэ́й;លាហើយ|лиа ха́эй;អរគុណ|оркун;សូម|соум;តម្លៃប៉ុន្មាន|тамлай понма́н;ជួយ!|чуой
lo|ສະບາຍດີ|сабайди́;ລາກ່ອນ|ла ко́н;ຂອບໃຈ|кхоп тяй;ກະລຸນາ|каруна́;ລາຄາເທົ່າໃດ|лакха́ тхауда́й;ຊ່ວຍດ້ວຍ|суай дуай
my|မင်္ဂလာပါ|минглаба́;သွားတော့မယ်|тва тьо мэ;ကျေးဇူးတင်ပါတယ်|тьезу́ тин ба дэ;ကျေးဇူးပြု၍|тьезу́ пью-е;ဘယ်လောက်လဲ|бэ лау лэ;ကူညီပါ|ку ньи ба
ne|नमस्ते|намасте́;फेरि भेटौंला|фе́ри бхета́унла;धन्यवाद|дханьява́д;कृपया|крипая́;कति पर्छ?|ка́ти парчха;मद्दत!|мадда́т
si|ආයුබෝවන්|аюбо́ван;ගිහින් එන්නම්|гихи́н энна́м;ස්තුතියි|стути́;කරුණාකර|карунака́ра;කීයද?|ки́яда;උදව්!|уда́ву
ur|السلام علیکم|ассаля́му алейку́м;خدا حافظ|худа́ ха́физ;شکریہ|шукри́я;براہ کرم|бара́-э кара́м;کتنے کا ہے؟|китне́ ка хэ;مدد!|мада́д
bn|নমস্কার|намошка́р;বিদায়|бида́й;ধন্যবাদ|дхоннобад;দয়া করে|дойа́ коре;কত দাম?|кото дам;সাহায্য!|шаха́джо
tl|Kumusta|кумуста́;Paalam|паала́м;Salamat|салама́т;Pakiusap|пакиуса́п;Magkano?|магка́но;Tulong!|ту́лонг
sw|Jambo|джа́мбо;Kwaheri|кваэ́ри;Asante|аса́нте;Tafadhali|тафадха́ли;Bei gani?|бей га́ни;Msaada!|мсаа́да
am|ሰላም|сэля́м;ደህና ሁን|дэхна хун;አመሰግናለሁ|амэсэгнале́у;እባክህ|ыбаки́х;ስንት ነው?|сынт ноу;እርዳታ!|ырдата́
af|Hallo|ха́лло;Totsiens|тотси́нс;Dankie|да́нки;Asseblief|асебли́ф;Hoeveel kos dit?|хуфи́л кос дит;Help!|хелп
mt|Bonġu|бо́нджу;Saħħa|са́хха;Grazzi|гра́цци;Jekk jogħġbok|екк йо́джбок;Kemm jiswa?|кемм йи́сва;Ajjut!|айю́т
ca|Hola|о́ла;Adéu|адэ́у;Gràcies|гра́сиес;Si us plau|си ус пла́у;Quant val?|куан вал;Ajuda!|ажу́да
dv|އައްސަލާމް ޢަލައިކުމް|ассала́му алейку́м;ދަނީ|дани́;ޝުކުރިއްޔާ|шукури́я;އަދޭސްކޮށް|адэ́скош;ކިހާ އަގެއް|киха́ агэ́;އެހީ|эхи́
bs|Dobar dan|до́бар дан;Doviđenja|довидже́ня;Hvala|хва́ла;Molim|мо́лим;Koliko košta?|коли́ко ко́шта;Upomoć!|упомо́ч
tk|Salam|сала́м;Hoş gal|хош гал;Sag boluň|саг болу́нь;Haýyş|хайы́ш;Näçe?|няче́;Kömek!|кёме́к
